WIN ['5C', 'AD', '5D', 'AC', '9C'] ['7C', '5H', '8D', 'TD', 'KS']
WIN ['3D', 'AD', '3C', '3S', '4C'] ['QC', 'AS', '5D', 'TH', '8C']
WIN ['8H', 'JH', 'TC', '3S', '8D'] ['8C', '9S', '2C', '5C', '4D']
WIN ['2C', '9D', 'KC', 'QH', 'TH'] ['QS', 'JC', '9C', '4H', 'TS']
WIN ['QS', '3C', 'QD', '8H', 'KH'] ['4H', '8D', 'TD', '8S', 'AC']
WIN ['QC', 'TC', 'JD', 'TS', '8C'] ['3H', '6H', 'KD', '7C', 'TD']
WIN ['2H', '4D', 'AH', '2D', 'JH'] ['6H', 'TD', '5D', '4H', 'JD']
WIN ['KD', '8C', '9S', 'JH', 'QD'] ['JS', '2C', 'QS', '5C', '7C']
WIN ['JC', '6H', '6S', 'JS', '4H'] ['QH', '9H', 'AH', '4C', '3C']
WIN ['8C', '7S', '8S', 'QH', '2S'] ['JD', '5C', '7H', 'AH', 'QD']
WIN ['8S', '3C', '6H', '6C', '2C'] ['8D', 'TD', '7D', '4C', '4D']
WIN ['KS', 'JS', 'KD', '5D', '2D'] ['KH', '7D', '9C', '8C', '3D']
WIN ['AH', 'QH', 'AS', 'JC', '8S'] ['8H', '4C', 'KC', 'TH', '7D']
WIN ['JC', '5H', 'TD', '7C', '5D'] ['KD', '4C', 'AD', '8H', 'JS']
WIN ['KC', '2H', 'AC', 'AH', '7D'] ['JH', 'KH', '5D', '7S', '6D']
WIN ['9S', '5S', '9C', '6H', '8S'] ['TD', 'JD', '9H', '6C', 'AC']
WIN ['KD', 'KC', '6S', '3D', '7D'] ['2S', '8S', '3H', '5S', '5C']
WIN ['4D', '4S', '8H', 'TD', '9C'] ['3S', '7D', '9D', 'AS', 'TH']
WIN ['JC', 'QS', 'JH', '2C', '6S'] ['9C', 'QC', '3D', '4S', 'TC']
WIN ['KD', '5H', 'JC', '8H', 'JD'] ['2D', '4H', 'TD', 'JH', '5C']
WIN ['8C', 'QD', 'JC', 'QS', 'TC'] ['QC', '4H', 'AC', 'KH', '6C']
WIN ['5S', '9C', 'KH', 'KD', '9H'] ['5C', 'TS', '3D', '7D', '2D']
WIN ['5H', 'AS', 'TC', '4D', '8C'] ['2C', 'TS', '9D', '3H', '8D']
WIN ['KC', 'AH', 'QH', '2H', '7D'] ['QS', '3H', 'KS', '7S', 'JD']
WIN ['6C', '8S', '3H', '6D', 'KS'] ['QD', '5D', '5C', '8H', 'TC']
WIN ['9H', '4D', '4S', '6S', '9D'] ['KH', 'QC', '4H', '6C', 'JD']
WIN ['TD', 'TS', '7C', 'AD', 'JC'] ['QD', '9H', '3C', 'KC', '7H']
WIN ['5D', '4D', '5S', '8H', '4H'] ['7D', '3H', 'JD', 'KD', '2D']
WIN ['AC', '3D', 'AS', '8C', 'TD'] ['7H', 'KH', '5D', '6C', 'JD']
WIN ['6H', 'KD', '2C', 'TD', '2H'] ['6C', '9D', '2D', 'JS', '8C']
WIN ['KD', '7S', '3C', '7C', 'AS'] ['QH', 'TS', 'AD', '8C', '2S']
WIN ['2H', '7C', 'TS', 'TC', '8C'] ['3C', '9H', '2D', '6D', 'JC']
WIN ['9D', 'TD', '9H', 'QC', '5D'] ['6C', '8H', '8C', 'KC', 'TS']
WIN ['TD', '6S', '7D', 'JS', 'KD'] ['4H', 'QS', '2S', '3S', '8C']
WIN ['2C', 'KD', '9H', 'JS', '9S'] ['3H', 'JC', 'TS', '5D', 'AC']
WIN ['AS', '2H', '5D', 'AD', '5H'] ['JC', '7S', 'TD', 'JS', '4C']
WIN ['7H', 'QD', 'JH', '5H', 'JS'] ['AC', '3D', 'TH', '4C', '8H']
WIN ['QH', 'KD', 'QD', '6D', 'AC'] ['6H', 'KH', '2C', 'TS', '8C']
WIN ['KD', '9S', '4S', 'TC', '7S'] ['QC', '3S', '8S', '2H', '7H']
WIN ['6H', 'QS', '6C', 'TC', 'QD'] ['9H', '7D', '7C', '5H', '4D']
WIN ['JS', '9C', '5C', '6S', '9D'] ['JD', '8H', 'KC', '4C', '6D']
WIN ['4D', '8D', '8S', '6C', '7C'] ['6H', '7H', '8H', '5C', 'KC']
WIN ['4C', 'AS', 'JS', '9S', '7C'] ['TS', '7H', '9H', 'JC', 'KS']
WIN ['4C', '2C', '7D', '3D', 'AS'] ['9C', '2S', 'QS', 'KC', '6C']
WIN ['8S', '5H', '3D', '2S', 'AC'] ['9D', '6S', '3S', '4D', 'TD']
WIN ['QD', 'TH', '7S', 'TS', '3D'] ['AC', '7H', '6C', '5D', 'QC']
WIN ['TC', 'QD', 'AD', '9C', 'QS'] ['5C', '8D', 'KD', '3D', '3C']
WIN ['5C', '6C', '5H', '2H', 'JH'] ['4H', 'KS', '7C', 'TC', '3H']
WIN ['8C', '9D', 'AH', '2H', 'AC'] ['QC', '5S', '8H', '7H', '2C']
WIN ['QD', '9H', '5S', 'QS', 'QC'] ['9C', '5H', 'JC', 'TH', '4H']
WIN ['6C', '6S', '3H', '5H', '3S'] ['6H', 'KS', '8D', 'AC', '7S']
WIN ['AH', '5S', '6H', '9S', 'AD'] ['3S', 'TH', '2H', '9D', '8C']
WIN ['9D', '6H', '4D', 'TC', '4C'] ['JH', '2S', '5D', '3S', 'AS']
WIN ['3S', '4S', '7S', 'AH', 'AS'] ['KC', 'JS', '2S', 'AD', 'TH']
WIN ['JD', 'JS', 'JC', 'TH', '2D'] ['3D', 'QD', '8C', 'AC', '5H']
WIN ['7S', 'KH', '5S', '9D', '5D'] ['TD', '4S', '6H', '3C', '2D']
WIN ['QD', 'QS', 'TH', '3C', 'TS'] ['7H', '7D', 'AH', 'TD', 'JC']
WIN ['AH', '7H', '4S', '6D', '7C'] ['2H', '9D', 'KS', 'JC', 'TD']
WIN ['QC', '2D', 'AC', 'QD', '2S'] ['3S', 'JD', 'QS', '6S', '8H']
WIN ['8D', '9H', 'AH', 'JD', 'TD'] ['QS', '7D', '3S', '9C', '8S']
WIN ['7H', 'KD', 'AH', '4D', 'KH'] ['5C', '4S', '2D', 'KC', 'QH']
WIN ['6D', '6H', '5D', '5S', 'TC'] ['3D', '7D', 'QS', '9D', 'QD']
WIN ['KC', 'QH', 'JC', 'AC', 'QD'] ['5D', '8D', 'QS', '7H', '7D']
WIN ['JS', 'AH', '8S', '5H', '3D'] ['TD', '3H', '4S', '6C', 'JH']
WIN ['4S', 'QS', '7D', 'AS', '9H'] ['JS', 'KS', '6D', 'TC', '5C']
WIN ['5S', '3D', 'KS', 'AC', '4S'] ['7D', 'QD', '4C', 'TH', '2S']
WIN ['TS', '8H', '9S', '6S', '7S'] ['QH', '3C', 'AH', '7H', '8C']
WIN ['8S', '7S', '9D', 'QC', 'AC'] ['7C', '6D', '2H', 'JH', 'KC']
WIN ['KH', '7C', 'TC', '6S', 'TD'] ['JC', '5C', '7D', 'AH', '3S']
WIN ['3H', '4C', '4H', 'TC', 'TH'] ['6S', '7H', '6D', '9C', 'QH']
WIN ['3H', '6S', 'AD', '7H', '3S'] ['QC', '8S', '4S', '7S', 'JS']
WIN ['4S', 'QH', '4D', '5H', 'KC'] ['7D', '6D', '8D', 'TH', '5S']
WIN ['TS', '6S', 'QC', '6C', 'TH'] ['TC', '9D', '5C', '5D', 'KD']
WIN ['4S', '7C', '9C', '7D', 'JH'] ['6C', '5C', '8H', '9D', 'QD']
WIN ['JC', '6S', '9C', 'QH', 'JH'] ['8D', '7S', 'JS', 'KH', '2H']
WIN ['2D', '3H', '7D', 'JD', '3D'] ['AS', '2S', '9C', 'QC', '8S']
WIN ['4H', '9H', '9C', '2C', '7S'] ['JH', 'KD', '5C', '5D', '6H']
WIN ['TS', '5H', 'JD', 'QS', 'QH'] ['QC', '8D', '5D', 'KH', 'AH']
WIN ['6S', '4H', '4S', '9C', '8D'] ['KS', 'TC', '9D', 'JH', '7C']
WIN ['5S', 'JC', '5H', '4S', 'QH'] ['AC', '2C', 'JS', '2S', '9S']
WIN ['8C', '5H', 'AS', 'QD', 'AD'] ['5C', '7D', '8S', 'QC', 'TD']
WIN ['JC', 'KH', '2D', '7D', 'JS'] ['QC', '5H', '4C', '5D', 'AD']
WIN ['TS', '3S', 'AD', '4S', 'TD'] ['2D', 'TH', '6S', '9H', 'JH']
WIN ['KH', '6S', '8H', '4S', 'KD'] ['7D', '9D', 'TS', 'QD', 'QC']
WIN ['JH', '5H', 'AH', 'KS', 'AS'] ['AD', 'JC', 'QC', '5S', 'KH']
WIN ['5D', '7D', '6D', 'KS', 'KD'] ['3D', '7C', '4D', 'JD', '3S']
WIN ['6H', 'KS', 'KH', '9D', '7C'] ['2S', '6S', '8S', '2H', '3D']
WIN ['QH', '7D', '7C', 'JH', 'QS'] ['QD', 'TH', '3H', '5D', 'KS']
WIN ['4D', 'KH', '8H', '4H', '2D'] ['KS', '3H', '5C', '2S', '9H']
WIN ['QS', '7S', 'TD', '7D', 'TS'] ['JC', 'KD', '7C', '3C', '2C']
WIN ['AH', 'KS', '6C', '4C', '4S'] ['7D', '8C', '9H', '6H', 'AS']
WIN ['2D', 'TS', '2C', 'JS', 'KH'] ['QH', '5D', '8C', 'AS', 'KC']
WIN ['5H', 'JC', 'QD', '2C', '2S'] ['JD', 'AS', 'QC', '6S', '7D']
WIN ['6D', 'JS', '5C', 'QD', 'QC'] ['9C', '5D', '8C', '2H', 'KD']
WIN ['3D', '7C', '4C', '7S', '5S'] ['3S', '6S', '5H', 'JC', '3C']
WIN ['QH', '7C', '5H', '3C', '3S'] ['8C', 'TS', '4C', 'KD', '9C']
WIN ['QD', '3S', '7S', '5H', '7H'] ['QH', 'JC', '7C', '8C', 'KD']
WIN ['3C', 'KD', 'KH', '2S', '4C'] ['TS', 'AC', '6S', '2C', '7C']
WIN ['QS', '4D', 'TS', '7S', '4C'] ['3H', 'QD', '8D', '9S', 'TC']
WIN ['4C', '4H', 'AS', 'JS', '5D'] ['3D', 'TS', '9C', 'AC', '8S']
WIN ['3D', '3H', '7S', '4D', '6C'] ['7C', 'AC', '2H', '9C', 'TH']
WIN ['4C', '5C', 'JD', 'QS', '4D'] ['3H', 'TH', 'AC', 'QH', '8C']
WIN ['2H', '5S', 'TH', '6S', 'TS'] ['3S', 'KS', '3C', '5H', 'JS']
WIN ['AS', '3D', '9H', '7D', '4D'] ['TH', 'KH', '2H', '7S', '3H']
WIN ['JC', 'AS', 'AD', 'QS', '8H'] ['6C', 'KH', '4C', '4D', 'QD']
WIN ['2S', '3D', 'TS', 'TD', '9S'] ['KS', '6S', 'QS', '5C', '8D']
WIN ['5H', '8H', 'KH', '8S', 'KS'] ['7C', 'TD', 'AD', '4S', 'KD']
WIN ['9D', '5C', '9H', 'KC', '8H'] ['KS', '4S', 'AD', '4D', '2S']
WIN ['6D', '9S', 'KC', 'TD', '3S'] ['6H', 'QD', 'JD', '5C', '8D']
WIN ['5H', '9D', 'TS', 'KD', '8D'] ['6H', 'TD', 'QC', '4C', '7D']
WIN ['3C', 'KC', '6D', '5D', '6C'] ['6H', '8S', 'AS', '7S', 'QS']
WIN ['QC', 'AS', '2S', 'JS', '5C'] ['6H', 'KD', '3H', '7H', '2C']
WIN ['QD', '8H', '2S', '8D', '3S'] ['6D', 'AH', '2C', 'TC', '5C']
WIN ['JD', 'JS', 'TS', '8S', '3H'] ['5D', 'TD', 'KC', 'JC', '6H']
WIN ['6D', '3S', 'TS', '6H', '4H'] ['KS', '9D', '8H', '5S', '2D']
WIN ['6S', 'KH', '9S', '2C', '5H'] ['TC', '3C', '7H', 'JC', '4D']
WIN ['4C', '8D', 'QC', 'TS', '4S'] ['9H', '3D', 'AD', 'JS', '7C']
WIN ['8C', 'QS', '5C', '5D', '3H'] ['JS', 'AH', 'KC', '4S', '9D']
WIN ['JD', 'QC', '5D', '6S', '9H'] ['3S', '2C', '8H', '9S', 'TS']
WIN ['KD', 'JS', 'QC', 'TS', 'QS'] ['KH', 'JH', '2C', '5D', 'AD']
WIN ['2S', '7H', '6C', '6D', '7D'] ['8C', '5D', '9D', 'JC', '3C']
WIN ['JS', '8S', '5S', 'JC', '8H'] ['TH', '9C', '4D', '5D', 'KC']
WIN ['TD', '2S', 'KS', '3D', 'AD'] ['KC', '7S', 'TC', '3C', '5D']
WIN ['AH', '6S', 'AS', '7H', '5S'] ['KD', '3H', '5H', 'AC', '4C']
WIN ['8D', '8S', 'AH', 'KS', 'QS'] ['2C', 'AD', '6H', '7D', '5D']
WIN ['6H', '9H', '9S', '2H', 'QS'] ['8S', '9C', '5D', '2D', 'KD']
WIN ['7H', '3H', '6S', 'KC', '4D'] ['6D', '5C', '4S', 'QD', 'TS']
WIN ['TC', '4C', '2C', '9S', '9D'] ['9C', '5C', '2H', 'JD', '3C']
WIN ['4H', '6C', '8S', 'TH', '2H'] ['4S', '8H', '9S', '3H', '7S']
WIN ['7C', '4C', '9C', '2C', '5C'] ['AS', '5D', 'KD', '4D', 'QH']
WIN ['QC', 'KD', 'AC', 'AD', '2H'] ['7S', 'AS', '3S', '2D', '9S']
WIN ['3H', '6S', 'TC', '8D', 'TS'] ['3S', 'KC', '9S', '7C', 'AS']
WIN ['8C', 'QC', '4H', '4S', '8S'] ['6C', '3S', 'TC', 'AH', 'AC']
WIN ['QD', 'QC', '8S', '4S', 'TH'] ['3D', 'AH', 'TS', 'JH', '4H']
WIN ['KC', '9H', '6C', 'KD', '7S'] ['3C', '4D', 'AS', 'TC', '2D']
WIN ['JC', 'TH', '4S', '6S', 'JD'] ['2D', '4D', '6C', '3D', '4C']
WIN ['TD', '8S', 'AD', 'TC', 'AH'] ['AC', 'JH', '9S', '6S', '7S']
WIN ['JC', '9C', 'KH', 'JH', 'QS'] ['QC', '2C', 'TS', '3D', 'AD']
WIN ['5D', 'JH', 'AC', '5C', '9S'] ['TS', '4C', 'JD', '8C', 'KS']
WIN ['AH', 'AD', 'TH', '6D', '9C'] ['9S', 'KD', 'KS', 'QH', '4H']
WIN ['QD', '6H', '9C', '7C', 'QS'] ['6D', '6S', '9D', '5S', 'JH']
WIN ['QC', 'QS', '8C', '2S', '2C'] ['3S', '9C', '4C', 'KS', 'KH']
WIN ['2D', '5D', '8S', 'AH', 'AD'] ['TD', '2C', 'JS', 'KS', '8C']
WIN ['QH', '9D', '4D', 'JH', 'QS'] ['3S', '2C', '7C', '6C', '2D']
WIN ['4H', '9S', 'JD', '5C', '5H'] ['AH', '9D', 'TS', '2D', '4C']
WIN ['JS', 'AH', '8C', 'AD', 'KS'] ['5S', '8H', '2C', '6C', 'TH']
WIN ['2H', '5D', 'AD', 'AC', 'KS'] ['3D', '8H', 'TS', '6H', 'QC']
WIN ['6H', '4H', '6C', '7H', '6S'] ['2S', '8S', 'KH', 'QC', '8C']
WIN ['5S', '7C', '8S', '7D', '2C'] ['KS', '7S', '6C', '8C', 'JS']
WIN ['5H', 'QD', '2S', 'AC', '8C'] ['9H', 'KS', '7C', '4S', '3C']
WIN ['AS', '2S', 'TD', 'AD', '4D'] ['9H', 'JC', '4C', '5H', 'QS']
WIN ['5S', '4C', 'AC', 'KH', 'AS'] ['QC', '2C', '5C', '8D', '9C']
WIN ['JH', '7C', '9H', '7H', 'TC'] ['5H', '3D', '6D', '5D', '4D']
WIN ['2C', 'QD', 'JH', '2H', '9D'] ['5S', '3D', 'TD', 'AD', 'KS']
WIN ['TC', 'KS', '5S', '8D', '8H'] ['AD', '2S', '2D', '4C', 'JH']
WIN ['AC', 'KH', '3H', 'AS', '9D'] ['KC', '9H', 'QD', '6C', '6S']
WIN ['9H', '7S', '3D', '5C', '7D'] ['KC', 'TD', '8H', '4H', '6S']
WIN ['6D', 'AD', '4C', 'QD', '6C'] ['5D', '7D', '9D', 'KS', 'TS']
WIN ['JH', '2H', 'JD', '9S', '7S'] ['TS', 'KH', '8D', '5D', '8H']
WIN ['2D', '9S', '4C', '7D', '9D'] ['5H', 'QD', '6D', 'AC', '6S']
WIN ['7S', '6D', 'JC', 'QD', 'JH'] ['4C', '6S', 'QS', '2H', '7D']
WIN ['8C', 'TD', 'JH', 'KD', '2H'] ['5C', 'QS', '2C', 'JS', '7S']
WIN ['5H', 'AH', 'JD', '9C', 'JS'] ['KC', '2H', '6H', '4D', '5S']
WIN ['KC', '2C', 'QD', '9C', 'KH'] ['4D', '7S', '3C', 'TS', '9H']
WIN ['AD', '5S', '6S', '2H', '2D'] ['5H', 'TC', '4S', '3C', '8C']
WIN ['7S', '5H', '7H', '8H', 'KH'] ['6H', 'QS', 'TH', 'KD', '7D']
WIN ['5H', 'AD', 'KD', '7C', 'KH'] ['5S', 'TD', '6D', '3C', '6C']
WIN ['7S', '4H', 'AD', '4D', '8S'] ['QS', 'TH', '3D', '7H', '5S']
WIN ['8D', 'TC', 'KS', 'KD', '9S'] ['6D', 'AD', 'JD', '5C', '2S']
WIN ['AD', 'AC', '2C', '6S', 'QD'] ['7C', '3H', 'TH', 'KS', 'KD']
WIN ['QS', '5S', 'TD', 'AC', '9D'] ['KC', '3D', 'TC', '2D', '4D']
WIN ['9C', 'QD', 'TH', '5H', 'TS'] ['5C', '9H', 'AH', 'QH', '2C']
WIN ['AS', '5C', 'AD', 'QH', '7D'] ['2H', '9S', '7H', '7C', 'TC']
WIN ['2C', 'TS', '4D', '7H', '2D'] ['QC', '9C', '5D', 'TH', '7C']
WIN ['JS', '6S', 'AC', 'KD', '3D'] ['3C', '4S', '7H', 'TH', 'KC']
WIN ['7H', 'AS', 'KH', '8C', '4H'] ['9C', '5S', '3D', '6S', 'TS']
WIN ['JH', 'TD', '2D', '4C', 'TS'] ['3H', 'KH', 'AD', '3S', '7S']
WIN ['AS', '4C', '5H', '4D', '6S'] ['KD', 'JC', '3C', '6H', '2D']
WIN ['7C', '2S', '9H', '7H', 'KC'] ['5C', '6D', '5S', '3H', 'JC']
WIN ['3C', 'TC', '9C', '4H', 'QD'] ['TD', 'JH', '6D', '9H', '5S']
WIN ['7C', '6S', '5C', '5D', '6C'] ['4S', '7H', '9H', '6H', 'AH']
WIN ['AD', '2H', '7D', 'KC', '2C'] ['4C', '2S', '9S', '7H', '3S']
WIN ['5C', 'TD', '4S', '4D', 'AD'] ['6S', '5D', 'TC', '9C', '7D']
WIN ['8H', '3S', '4D', '4S', '5S'] ['6H', '5C', 'AC', '3H', '3D']
WIN ['9H', '3C', 'AC', '4S', 'QS'] ['8S', '9D', 'QH', '5H', '4D']
WIN ['JC', '6C', '5H', 'TS', 'AC'] ['9C', 'JD', '8C', '7C', 'QD']
WIN ['3C', '2D', '4C', '5S', '6C'] ['4S', 'QS', '3S', 'JD', '3D']
WIN ['AH', '7D', '3H', '8H', '8S'] ['7H', 'QS', '5H', '9D', '2D']
WIN ['QS', 'KH', '3S', '2C', '2S'] ['3C', '7S', 'TD', '4S', 'QD']
WIN ['4C', 'QH', '7C', 'QD', '3S'] ['AD', 'TH', '8S', '5S', 'TS']
WIN ['9H', 'TC', '2S', 'TD', 'JC'] ['7D', '3S', '3D', 'TH', 'QH']
WIN ['2H', 'KH', '7C', '4D', '4S'] ['3H', 'JS', 'QD', '7D', 'KC']
WIN ['4C', 'JC', 'AS', '9D', '3C'] ['JS', '6C', '8H', 'QD', '4D']
WIN ['6C', '8C', 'AD', '7H', '6H'] ['3D', 'KH', 'AS', '5D', 'TH']
WIN ['KS', '8C', '3S', 'TS', '8S'] ['4D', '5S', '9S', '6C', '4H']
WIN ['9H', '4S', '4H', '5C', '7D'] ['KC', '2D', '2H', '9D', 'JH']
WIN ['5C', 'JS', 'TC', '9D', '9H'] ['5H', '7S', 'KH', 'JC', '6S']
WIN ['2H', 'JC', '2D', '7H', '2C'] ['3C', '8D', 'KD', 'TD', '4H']
WIN ['JH', 'JC', '3S', 'AC', 'QH'] ['9H', '7H', '8S', 'QC', '2C']
WIN ['2C', 'KH', '5S', '3S', '7S'] ['7H', '6C', '9D', 'QD', '8D']
WIN ['8H', 'KS', 'AC', '2D', 'KH'] ['TS', '6C', 'JS', 'KC', '7H']
WIN ['3C', 'KD', '2H', '3H', 'QS'] ['JD', 'TC', 'QC', '5D', '8H']
WIN ['KS', 'JC', 'QD', 'TH', '9S'] ['KD', '8D', '8C', '2D', '9C']
WIN ['JC', '3C', 'AC', '7C', 'JD'] ['JS', '8H', '9S', 'QC', '5D']
WIN ['JD', '6S', '5S', '2H', 'AS'] ['8C', '7D', '5H', 'JH', '3D']
WIN ['8D', 'TC', '5S', '9S', '8S'] ['3H', 'JC', '5H', '7S', 'AS']
WIN ['JD', '7H', '4S', '8H', '4C'] ['JS', '6H', 'QH', '5S', '4H']
WIN ['8D', '5H', '5D', '6H', '7S'] ['4D', 'KS', '9D', 'TD', 'JD']
WIN ['2S', '9D', 'TS', '4D', 'AC'] ['8D', '6C', 'QD', 'JD', '3H']
WIN ['AC', '2H', '3S', 'JC', '5C'] ['QH', '4D', '2D', '5H', '7S']
WIN ['7S', 'QH', '7H', '6C', 'QC'] ['8H', '2D', '7C', 'JD', '2S']
WIN ['2C', 'QD', '2S', '2H', 'JC'] ['9C', '5D', '2D', 'JD', 'JH']
WIN ['7C', '5C', '9C', '8S', '7D'] ['6D', '8D', '6C', '9S', 'JH']
WIN ['5S', 'KC', '6H', 'TC', '5H'] ['8S', 'TH', '6D', '3C', 'AH']
WIN ['9C', 'KD', '4H', 'AD', 'TD'] ['9S', '4S', '7D', '6H', '5D']
WIN ['5H', 'TH', 'QC', '7H', 'TC'] ['3S', '7C', '6D', 'KC', '3D']
WIN ['4S', '8C', '4D', '2D', '8H'] ['9H', '7D', '9D', 'AH', 'TS']
WIN ['9S', '2C', '9H', '4C', '8D'] ['AS', '7D', '3D', '6D', '5S']
WIN ['9C', '9H', '4H', '4D', 'TH'] ['6D', 'QD', '8S', '9S', '7S']
WIN ['2H', 'AC', '8S', '4S', 'AD'] ['8C', '2C', 'AH', '7D', 'TC']
WIN ['AH', '6S', 'JS', 'JH', '5D'] ['AS', 'QC', '2C', 'JD', 'TD']
WIN ['TD', '8H', 'AS', '5D', 'AH'] ['QC', 'AC', '6S', 'TC', '5H']
WIN ['KS', '4S', '7H', '4D', '8D'] ['9C', 'TC', '2H', '6H', '3H']
WIN ['3H', 'KD', '4S', 'QD', 'QH'] ['3D', '8H', '8C', 'TD', '7S']
WIN ['3C', 'AD', 'JC', 'KD', 'JS'] ['KH', '4S', 'TH', '9H', '2C']
WIN ['QS', 'KH', 'TD', 'QD', '2C'] ['3H', '8S', '2S', 'QC', 'AH']
WIN ['9D', '9H', 'JH', 'TC', 'QH'] ['3C', '2S', 'JS', '5C', '7H']
WIN ['6C', '3S', '3D', '2S', '4S'] ['QD', '2D', 'TH', '5D', '2C']
WIN ['2D', '6H', '6D', '2S', 'JC'] ['QH', 'AS', '7H', '4H', 'KH']
WIN ['4S', '9D', '6C', '6D', '9C'] ['AC', '8D', '3H', '7H', 'KD']
WIN ['JC', 'AH', '6C', 'TS', 'JD'] ['6D', 'AD', '3S', '5D', 'QD']
WIN ['JC', 'JH', 'JD', '3S', '7S'] ['8S', 'JS', 'QC', '3H', '4S']
WIN ['2C', 'AC', '5H', 'KD', '5S'] ['7H', 'QD', 'JH', 'AH', '2D']
WIN ['JC', 'QH', '8D', '8S', 'TC'] ['5H', '5C', 'AH', '8C', '6C']
WIN ['3H', 'JS', '8S', 'QD', 'JH'] ['3C', '4H', '6D', '5C', '3S']
WIN ['6D', '4S', '4C', 'AH', '5H'] ['5S', '3H', 'JD', '7C', '8D']
WIN ['8H', 'AH', '2H', '3H', 'JS'] ['3C', '7D', 'QC', '4H', 'KD']
WIN ['6S', '2H', 'KD', '5H', '8H'] ['2D', '3C', '8S', '7S', 'QD']
WIN ['2S', '7S', 'KC', 'QC', 'AH'] ['TC', 'QS', '6D', '4C', '8D']
WIN ['3C', '6C', '5C', '5S', 'JD'] ['JC', 'KS', '3S', '5D', 'TS']
WIN ['4S', 'JS', 'QS', '3S', '4H'] ['7C', '2S', 'AC', '6S', '9D']
WIN ['9C', 'TC', 'AC', 'JH', 'KH'] ['4D', 'JD', '5H', 'TD', '3S']
WIN ['7S', '4H', '9D', 'AS', '4C'] ['7D', 'QS', '9S', '2S', 'KH']
WIN ['3S', '8D', '8S', 'KS', '8C'] ['JC', '5C', 'KH', '2H', '5D']
WIN ['8S', '8C', '7C', 'JS', 'JD'] ['6S', '4C', '9C', 'AC', '4S']
WIN ['QD', '8C', '8D', '2D', '6S'] ['TD', '9D', 'AC', 'QH', '5S']
WIN ['QH', 'QC', 'JS', '3D', '3C'] ['5C', '4H', 'KH', '8S', '7H']
WIN ['QD', '9H', 'QH', '5H', '4H'] ['4D', 'KH', '3S', 'JC', 'AD']
WIN ['2C', '9H', '2D', 'AH', '3H'] ['6D', '9C', '7D', 'TC', 'KS']
WIN ['6D', '7H', 'AH', '7S', 'QC'] ['6H', '2D', 'TD', 'JD', 'AS']
WIN ['JD', '2H', '5C', 'AS', '6C'] ['QC', '4D', '3C', 'TC', 'JH']
WIN ['4H', 'TC', 'TS', '2C', '8C'] ['6S', 'KS', '2H', 'JD', '9S']
WIN ['QC', '2C', '2S', 'QD', '9C'] ['4D', '3S', '8D', 'JH', 'QS']
WIN ['3C', 'TS', '8H', '5C', '4C'] ['2C', '6S', '8D', '7C', '4H']
